,commentary
206,"Shami to Head, no run, ooh! Head adjusts well, was fullish and stops on Head who was looking to get forward for another big drive, steers it to backward point in the end"
207,"Shami to Head, no run, short of length and angling into Head, tucks him up, defended to cover"
208,"Shami to Head, FOUR, Shami is back and is greeted with a boundary. This is getting increasingly worrying for India now. From round the wicket and it's a half-volley just outside off, Head gets forward and lofts straight down the ground. A statement shot if ever there was one. A fan wearing India's blue can't bear to watch"
209,Mohammed Shami [5.0-1-33-1] is back into the attack
211,"Jadeja to Head, 1 run, Head gives the charge and strokes the drive to long-on"
212,"Jadeja to Head, no run, no turn, good length on the stumps, punched to cover"
213,"Jadeja to Labuschagne, 1 run, skids on from a good length on off, tapped to the left of cover for a quick single"
214,"Jadeja to Head, 1 run, good length on the stumps, Head goes on the back foot to punch to long-off"
215,"Jadeja to Labuschagne, 1 run, tossed up delivery on leg-stump, driven to long-on"
216,"Jadeja to Head, 1 run, short and wide outside off, cut to point and Kuldeep half-stops to his right and does well as that was hit hard, just one as Labuschagne sends Head back"
217,Ravindra Jadeja [3.0-0-11-0] is back into the attack
219,"Kuldeep Yadav to Head, 1 run, the googly and Head picks it, goes on the back foot and punches the good length delivery on leg-stump to long-on"
220,"Kuldeep Yadav to Labuschagne, 1 run, again too full, Labuschagne gets forward and strokes it to long-on"
221,"Kuldeep Yadav to Labuschagne, no run, well tossed up outside off, Labuschagne gets forward and stays leg-side of the ball, drives and the inside-edge hits the boot and rolls away to the off-side"
223,"Kuldeep Yadav to Labuschagne, FOUR, no slip and four. Slides on as the legbreak goes across Labuschagne who goes on the back foot to cut and the thick outside-edge runs away past the vacant slip"
224,"Kuldeep Yadav to Head, 1 run, no turn on this good length delivery on off, punched to sweeper cover and 50 for Head. Maxwell who is next in, claps in encouragment and eggs him on"
225,"This is the real test for Rohit as captain. Ball isn't doing much, there's an ominous partnership brewing and the opposition is growing confident with every passing moment. What can he do to stop it? Even with a 130,000 cheering for them, how can he stop a lull from descending on the team?"
226,"Kuldeep Yadav to Head, no run, slides on from a good length on the stumps, Head goes on the back foot to punch it back"
228,"Siraj to Labuschagne, no run, slower ball off-cutter full outside off, turned to Kohli at mid-wicket who shies and shows that he is there, wide of the stumps and Rahul collects"
229,The ball seems to be sliding on nicely at the moment. No turn and it's getting tougher and tougher for India.
230,"Siraj to Labuschagne, no run, full outside off, full-faced off-drive to mid-off"
231,"Siraj to Head, 1 run, another short ball but does not rise at all, on the stumps, Head pulls to deep square leg"
232,"Matty Hayden on air: The 13th man here is 1,30,000."
233,"Siraj to Head, FOUR, these boundaries are going to hurt India. Round the wicket and dug in short on the stumps, Head was waiting for it, hammered over mid-wicket and the pull runs away"
234,"Siraj to Labuschagne, 1 run, short of length outside off, Labuschagne angles it to the left of backward point for an easy single"
235,"Siraj to Labuschagne, no run, fullish and shaping back in towards off, Labuschagne gets forward to show the full face to drive to mid-off"
238,"Kuldeep Yadav to Labuschagne, 1 run, on the pads, Labuschagne closes the bat face towards deep mid-wicket"
239,"Kuldeep Yadav to Labuschagne, 2 runs, flat on off, Labuschagne rocks back to cut to the right of sweeper cover. Solid commitment from Shreyas Iyer who covered about 20 yards in a matter of seconds and dived to stop the boundary. Just two runs"
240,"Kuldeep Yadav to Labuschagne, no run, top delivery!! On a length and going across the batter, Labuschagne didn't read it at all!! Beaten on the outside edge"
241,Kuldeep is keeping it much shorter to Travis Head. He's been a bit ruffled by that six
242,Ishan Kishan on the field (at long-off) for someone
243,"Kuldeep Yadav to Head, 1 run, length ball on off, cut towards sweeper cover."
244,"Kuldeep Yadav to Head, no run, flat and skids through outside off. Late cut towards backward point"
245,"Nasser Hussain about Travis Head: Good thing about Travis Head is he is not just going into his bunker and thinking I will just knock it around. He is still being positive, you can tell from his body language, his intent, if there is a bad ball he will put you away. He picked up Kuldeep perfectly, slogsweep for six, and five fours already."
246,"Kuldeep Yadav to Labuschagne, 1 run, flighted up and wider, Labuschagne leans closer to drive past covers and towards wide long-off"
248,"Siraj to Labuschagne, 1 run, fuller and skiddy, keeps a tad low on off stump. Labuschagne opens the bat face late on his block to scamper a single to the left of Jadeja at backward point"
249,"Siraj to Head, 1 run, back of length on the body, pulled into the ground towards deep mid-wicket"
250,"Siraj to Labuschagne, 1 run, fraction short angling onto off. Labuschagne with a very gentle push towards covers to sneak the single. 50 partnership up for this duo"
251,"Siraj to Labuschagne, no run, good length and straight, Labuschagne with a slight inward shimmy plays the forward defence"
252,"Nasser Hussain on air: It is always slightly easier in a run chase, you know the target, the required rate is only 4.55. You don't have to panic. Only way they can win this is get wickets, India."
253,"Siraj to Head, 1 run, length ball just outside off, slapped towards the left of sweeper cover"
254,"Siraj to Head, no run, good length angling inwards from round the wicket. Head makes room but controls his aggressive instinct to push the ball towards mid-off"
256,"Kuldeep Yadav to Labuschagne, no run, tossed up on leg stump, defended"
257,Now India have 3 fielders inside the ring on the leg-side for Marnus against Kuldeep. And immediately a single is saved.
258,"Kuldeep Yadav to Head, 1 run, flighted up outside off, driven out towards sweeeper cover"
259,"Kuldeep Yadav to Head, no run, on the boots, turned to mid-wicket"
260,"Kuldeep Yadav to Labuschagne, 1 run, tossed up on the pads, turned between square leg and mid-wicket for a single"
261,"Square leg, short fine and mid-wicket in place for Marnus. The off-side is more vacant"
262,"Kuldeep Yadav to Labuschagne, no run, on the pads, tickled towards short fine"
263,"Kuldeep Yadav to Labuschagne, no run, pitched fuller on off, blocked to the left of Kuldeep"
264,Some ropes and blankets being used to wipe off the grass. So does that mean dew is on the horizon?
265,"Drinks are on the field now. Post the powerplay, Australia have got things under some sort of control. Marnus and Travis Head are looking comfortable. The bad news for India is the pitch isn't turning as much as expected, and these batters haven't been troubled much at all. India need a wicket out of somewhere or this duo can take the game at their pace. Dew is always a concern in the evenings here in Ahmedabad."
267,"Siraj to Labuschagne, 1 run, back of length angling onto the ribs, tickled towards fine leg"
268,"Siraj to Head, 1 run, Siraj attacks Head with a short ball, pulled towards deep square leg"
269,"Siraj to Head, FOUR, back of length on off, Head stays leg side, makes room and then opens the bat face late to squeeze the ball out behind square on the off side for a boundary"
270,"Ian Bishop: That is a top stop by Virat Kohli (16.1), that was travelling."
271,"Ricky Ponting: One of the hardest balls I have seen hit in this World Cup. Beautiful pick up on the half-volley. Surprised Travis, I think he thought it was through and past him (Kohli)."
272,"Siraj to Head, no run, back of length, slower and gets that spongy bounce outside off, reaches KL after pitching twice as Head lets the ball pass"
273,"Siraj to Head, no run, length ball wobbling just outside off, pushed towards backward point"
274,ICYMI: Shami is back on the field.
275,"Siraj to Head, no run, full and offers some room. Driven really hard but stopped by Kohli at covers. That was travelling like a tracer bullet but Kohli absorbed the blow"
276,"Mohammed Siraj, right-arm fast medium, comes into the attack"
277,"After 16 overs, time for Siraj. Just in case anybody had forgotten, he's also playing and now it is time for him to play his part!!"
278,"Australia's innings is mimicking that of India's quite closely, three wickets lost quite early followed by a rebuilding phase where the batters try and hunker down which consequently leads to a dip in the scoring rate."
280,"Kuldeep Yadav to Head, 1 run, pitched fuller, driven out towards long-off"
281,"Kuldeep Yadav to Head, SIX, eerie silence.... Pitched up on middle, was right in the slot for Travis Head to clear that front leg and heave it over deep mid-wicket into the stands. Was in full control and got a clean connection on that"
282,"Kuldeep Yadav to Head, no run, pushed through on off and Head drives but Kohli stops it like a salmon at covers. Very sharp stuff from the former Indian skipper"
283,14.6 an example of the difference in fielding between Australia and India. So many singles were cut off by the Aussies as the mid-wicket fielder cut off the angle and stopped those pushes and tucks. India so far haven't been able to do the same.
284,"Kuldeep Yadav to Labuschagne, 1 run, spinning onto the pads, Labuschagne shuffled to clip behind square for a single"
285,"Kuldeep Yadav to Labuschagne, no run, in the air...... a big turner that spins down leg after pitching. Labuschagne shuffled inwards and wasn't in control of the clip. Lobs it up but short of Gill at square leg"
286,"Kuldeep Yadav to Head, 1 run, flat delivery on off, cut towards sweeper cover. Easy runs here"
287,"The mood has turned quiet once again in Ahmedabad. The crowd senses that a partnership is blooming once again, and the spinners haven't looked very threatening yet"
289,"Jadeja to Head, 1 run, fired in on the pads, pushed towards long-on for a single"
290,"Jadeja to Head, no run, flat on middle and off, punched towards cover point"
292,"Jadeja to Labuschagne, 1 run, fuller on off, Labuschagne drives towards sweeper cover"
293,"Jadeja to Labuschagne, no run, darts one on middle stump, Labuschagne is untroubled and easily defends"
294,"Jadeja to Head, 1 run, flat at the stumps, Head stays in his crease to push towards long-off"
295,"Jadeja to Labuschagne, 1 run, flat outside off, Labuschagne gets closer to push it towards sweeper cover"
296,Why not 3 fielders inside the ring on the leg-side for Marnus when Kuldeep is bowling? 3 on the off-side seems one too many with Kuldeep not bowling the googly that often to the right-hander. This field is helping Marnus to knock to the unmanned backward square leg region and pick easy singles.
298,"Kuldeep Yadav to Labuschagne, 1 run, leg spinner that ends outside off. Labuschagne pushes it towards point for a single."
299,"Kuldeep Yadav to Labuschagne, no run, with the arm outside off from a length. Pushed towards backward point"
300,"Kuldeep Yadav to Head, 1 run, tossed fuller, Head gets right to the pitch and drives towards long-off"
301,"Kuldeep Yadav to Head, no run, flat and was the leg spinner. Head didn't pick it up fuller but managed to push it back towards Kuldeep"
302,"Kuldeep Yadav to Labuschagne, 1 run, pitched up and turning back in. Labuschagne shimmies inwards to tuck it towards deep backward square leg"
303,"Kuldeep Yadav to Head, 1 run, on a length and spinning away, punched towards sweeper cover"
304,A lot hinges on Marnus for Australia. He's the one capable of anchoring on a tricky wicket and really making life tough for the opposition. And batting is only going to get tougher on this pitch...
306,"Jadeja to Labuschagne, no run, pitched fuller and quicker at the stumps, Labuschagne defends"
307,"Jadeja to Head, 1 run, flat on middle stump, punched towards long-off"
308,"Jadeja to Labuschagne, 1 run, a tad shorter and with the arm towards leg, turned to the right of mid-wicket to rotate strike"
309,"11.5 Kuldeep bowled that one from 24 yards, just beside the umpire."
310,"Jadeja to Labuschagne, no run, pitched up on middle and leg, blocked to mid-wicket"
311,"Jadeja to Labuschagne, no run, fuller and with the arm, defended towards mid-wicket"
312,"Jadeja to Labuschagne, no run, flat and spins away sharply as well. Beats Labuschagne as he tried to cut at it"
314,"Kuldeep Yadav to Labuschagne, 1 run, tossed up on off and turning back in. Labuschagne drives towards long-on"
315,"Kuldeep Yadav to Head, 1 run, flat delivery just outside off, punched towards deep point"
316,More heads-up captaincy from Rohit here. He wants to bowl his spinners before the potential dew settles in.
317,"Kuldeep Yadav to Head, no run, flat and goes on without any spin towards middle. Head rocks back and pulls but towards mid-wicket where Rohit makes a smart stop"
318,A slip in place now
319,"Kuldeep Yadav to Labuschagne, 1 run, pushed through a bit quicker and fuller, driven towards long-on"
320,"Kuldeep Yadav to Labuschagne, no run, tossed up and was looking for that sharp turn back in that has troubled so many batters in the past. Labuschagne with a full blooded forward defence on that one"
321,"Kuldeep Yadav to Labuschagne, no run, loopy length ball, spins back in a tad fter pitching outside off. Labuschagne blocks it onto the pitch"
322,"Kuldeep Yadav, comes into the attack"
323,Now over to Kuldeep.
324,After 10.5 Illingworth just asked Jadeja to calm down. Not too happy with the excitement shown.
326,"Jadeja to Head, no run, close call again, no review taken. The Indians ran out of time. On a length and spins back in sharply after pitching on middle to have Head playing the wrong line. Caught on the pad but maybe the ball was doing too much. Ball-tracking shows it to be missing leg"
327,"Jadeja to Head, 2 runs, a loud appeal for LBW but 'bat' murmurs KL as he has a discussion with Jadeja. This was a flat delivery that went on with the arm, very close to the front pad but Head inside-edges his cut towards fine leg. Two runs taken"
328,Shami as soon as he finished his 5th over signalled to the Indian camp that he wants to come in. More of a comfort break and some rest one feels.
329,"Jadeja to Head, no run, flat delivery, stump lined. Pushed back towards Jadeja"
330,"Jadeja to Labuschagne, 1 run, strays onto the pads, clipped towards deep square leg"
331,"Bharat Sundaresan: ""Perhaps the Jasprit Bumrah delivery was so good, and it was, that even Steve Smith decided it deserved a wicket & didn’t review. Bizarre to see him not go for a DRS and that too in a World Cup final."""
332,"Jadeja to Labuschagne, no run, darted through on middle, spinning away. Blocked leg side"
333,"Jadeja to Labuschagne, no run, pitched fuller on off, Labuschagne with a forward defence"
334,"Jadeja to Head, 2 wides, spin straightaway but turns down the leg side after pitching on a length. Not a clean gather by Rahul and the Aussies scamper for an extra"
336,"Ravindra Jadeja, Left arm orthodox, comes into the attack"
338,Powerplay over and the game is in the balance. India also got a flier and then they were slowed down as the pitch slowed down. Will Australia face something similar?
340,"Shami to Labuschagne, no run, short of length delivery, Marnus defends off the back foot"
341,"Shami to Head, 1 run, oh tries to maximize the powerplay and goes for a big shot through point, gets an inside edge that rolls past the stumps to square leg"
342,"Shami to Head, FOUR, and Head is off again after being kept calm. Shami went for a slower delivery like his partner but it's landed in the slot and Head manages to drill it past the non-striker for four"
343,Rohit gestured to KL with a frown on his face not to get up too early after those 4 byes. Meanwhile Kohli asks the crowd to ramp it up. As if they are not doing it already.
344,"Shami to Head, FOUR, this is outstanding from Head! He tried to guide the ball in the gap previous ball since third man is inside, now succeeds as he plays the ball close to the body and very late. This time goes to the right of short third man. Clever batting"
345,"Shami to Head, no run, good length delivery angling in, Head looks to guide it with an open bat face but backward point cuts it off"
346,"Shami to Head, no run, good length delivery angling in, Head looks to flick, ball hits the pad as he misses. Easily missing leg though"
347,"Amidst all that excitement, Australia's run-rate has plummeted. They've only mustered 10 runs in the last 5 overs while losing 2 wickets and that includes the 4 byes in the previous over"
349,"Bumrah to Labuschagne, no run, Marnus defends from the crease and he literally presses the ball into the wicket as it bounces again off the bat"
350,Meanwhile Virat cheers the crowd to get behind the bowler
352,"Bumrah to Labuschagne, byes, FOUR, oh dear! What have you done KL? What should have been a dot ball is now four byes and Rohit isn't happy. KL has been outstanding with the gloves all tournament but seems a little off colour today"
353,"Bumrah to Labuschagne, no run, short of length delivery, Marnus defends off the back foot"
354,"Shane Watson on air: ""My heart has broken after seeing that."" This after the impact was outside off for that Smith LBW."
355,"Bumrah to Labuschagne, no run, another slower delivery, this time the yorker, Marnus digs it out"
356,Shreyas has some words with Marnus
357,"Bumrah to Labuschagne, no run, defended off the back foot"
358,"Bumrah to Labuschagne, no run, short of length delivery outside off stump, Marnus defends off the back foot"
359,"That slower ball off-cutter again! Remember Shaun Marsh in a Test. Mohammad Rizwan in this World Cup. It's that special ball again. Massive moment in the game and the crowd are losing it already in Ahmedabad. Smith did not want to waste a review and walked off. And guess what, the impact was outside off stump. How costly would this prove for Australia?"
361,"Shami to Head, no run, short of length delivery, defended back towards the bowler"
362,"Shami to Head, no run, short of length delivery, Head pushes it to point"
363,"Shami to Head, no run, full delivery outside off stump, Head plays and misses again"
364,"Shami to Head, no run, in-angling length ball, Head stays in his crease to defend it into the off-side"
365,"Shami to Head, no run, short of length delivery angling in, Head swipes across the line and misses. Crowd appeal for catch. That cut Head in half and KL dived to his right to catch"
366,"A yorker to Head might do it, he is backing away and exposing his stumps against Bumrah. Staying very leg-side of the ball. So far it has been good length/back of a length to him."
367,"Shami to Head, no run, back of length delivery angling in, cut towards backward point. Marnus wanted to run but was sent back"
368,"Marnus Labuschagne, right handed bat, comes to the crease"
370,"Bumrah to Smith, out Lbw!! Oh well, well! Jasprit Bumrah you master. He completely foxed Smith here with a slower delivery. This is as good as the Shaun Marsh slower ball at the MCG or the Rizwan slower delivery here in Ahmedabad. India outsmarting the Aussie batters by moving fields. Virat was asked to go to short mid-wicket from slip before this ball. So Smith in his mind could have thought I can't play leg-side now so let me play straight. And Bumrah so smartly slipped in an off-cutting slower delivery, Smith missed it and the finger went up. Interesting Smith didn't review that. He did have a chat with Head but walked off. Height was a question surely. Oh hang on, the replay says impact outside off stump. What a moment in the game. Why didn't you review that Smudgy? Smith lbw b Bumrah 4(9) [4s-1]"
371,"Bumrah to Smith, THATS OUT!! Lbw!!"
372,Slip goes to short mid-wicket
373,"Bumrah to Smith, no run, back to back of a length, Smith defends to the on-side"
374,"Bumrah to Smith, FOUR, neat, Steve Smith high backlift trademark on-drive! Kuldeep throws himself to the left at mid-on but the ball escapes. Length delivery on the stumps, Smith covered the line and middled that decently well"
375,"Bumrah to Smith, no run, short of length delivery just outside off stump, Smith defends off the back foot"
376,"Bumrah to Head, 1 run, opens the bat face and taps it to point, do you want that single, Smudge is the question and Smith runs"
377,"Bumrah to Head, no run, fullish delivery outside off stump, Head drives, but the man at short cover dives to his left and took some pace off to deflect it to mid-off. Did well to cut the angle"
379,"Shami to Smith, no run, oh this keeps a tad low and Smith just manages to get his bat down in time to save LBW/bowled!"
380,"Shami to Smith, no run, good length delivery just outside off stump, Smith defends off the back foot"
381,"The crowd are getting behind the Indian bowlers for every delivery here. Barring the few moments of silence when Australia hit a boundary, it's been raucous out there."
382,"Shami to Head, 1 run, short of length delivery on the stumps, Head pushes it to mid-on, lovely diving save to the right from Siraj"
383,"Shami to Head, no run, oh very tentative in his defence is Travis Head now to Shami as the bowler targets the stumps. He's opening up the batter. If it moves away, the edge could be in play"
384,"Shami to Head, no run, short of length delivery on the off stump, Head defends"
385,"Shami to Head, no run, appeal for LBW. Umpire Richard Kettleborough says no. Could be missing leg and that's exactly what KL was suggesting. Short of a length delivery angled in, Head looks to hop and defend, escapes because it wasn't straight enough. Head might have hit that too, yes!"
386,STAT: 17th dismissal behind the wicket for KL Rahul - the most by an Indian wicketkeeper in a World Cup surpassing 16 by his coach Rahul Dravid in the 2003 edition.
387,The atmosphere is absolutely buzzing in Ahmedabad. Head is now the key player for Australia in the powerplay as they will look to him to get some boundaries going against the hard new ball.
388,"Good observation by DK on air: Shami with a semi-new ball bowling first-change when the ball swings less is more potent as he is basically a seam bowler who gets swing. Has more control then. Now he is trying too hard to get wickets and that's why he has not looked as threatening as he has been, despite the wicket."
390,"Bumrah to Smith, no run, short of length delivery, Smith rocks back and defends, solid again"
391,"Bumrah to Smith, no run, blocked nicely again"
392,"Bumrah to Smith, no run, Smith moves across the stumps and defends towards cover"
393,"Steven Smith, right handed bat, comes to the crease"
394,"Bumrah to Mitchell Marsh, out Caught by Rahul!! It was Marsh caught at slip off Bumrah at Chepauk. It is Marsh caught KL off Bumrah in Ahmedabad. Now you almost figure out why Rohit sent Siraj to long-off to offer that single to Marsh last ball of the previous over. Marsh got out to Naveen who also bowls from a wide angle and Bumrah is a master at that art. Short of a length delivery outside off stump, Marsh goes for the cut, under edge and it carries to KL, who pouches it clean. Two down now. Mitchell Marsh c Rahul b Bumrah 15(15) [4s-1 6s-1]"
395,"Bumrah to Mitchell Marsh, THATS OUT!! Caught!!"
396,"""Kuldeep warming up"" informs our correspondent Kaushik."
397,"Bumrah to Mitchell Marsh, no run, short of length delivery on the stumps, Marsh defends off the front foot"
398,"Bumrah to Mitchell Marsh, no run, short of length delivery on the off stump, Marsh defends off the back foot, goes off the outer half of the bat and backward point"
400,"Shami to Mitchell Marsh, 1 run, long-off back for this ball and Marsh drives for a single. Wonder if that is to let Marsh have a single to face Bumrah. Rohit asked Siraj to go to long-off after a chat with Shami"
401,"Shami to Mitchell Marsh, no run, short of length delivery outside off stump, Marsh defends towards mid-off"
402,"KL Rahul has been very impressive throughout the tournament but he looks a touch fidgety today, he's let a couple (of relatively difficult ones) go through down leg and hasn't gathered a few cleanly. There's also a lot of swing after the ball has gone past the batter though."
403,"Shami to Mitchell Marsh, 2 runs, short of length delivery on the stumps, Marsh glances through backward square leg"
404,"Shami to Mitchell Marsh, SIX, that is the big statement from Marsh! Anything in his slot and he's get under and smack it without bothering to keep it down. That had a lot of hang time as it cleared long-off"
405,After 3.1 (the wide ball) Shami shook his head and stared at the landing area. Is he not happy with where his foot is landing?
406,"Shami to Mitchell Marsh, no run, short of length delivery outside off stump, Marsh lets it go. Ball wobbles to trouble KL as he tries to collect"
407,"Shami to Mitchell Marsh, no run, short of length delivery outside off stump, Marsh looks to push it towards cover, inside-edges towards mid-on"
408,"Shami to Mitchell Marsh, 3 wides, another swinging delivery finishing down leg, lucky KL got a hand on it. Virat runs from slip to stop the boundary"
409,STAT: The 15-run over from Bumrah was his most expensive in WC 2023 and the first time he has conceded 10+ runs in an over inside Powerplay 1.
410,Will be interesting to see Siraj at first-change. He has not done that in this tournament and quite a while since he has not taken the new-ball in ODIs. And it's a big game. How will his nerves be?
412,"Bumrah to Head, no run, beaten! Head is having serious trouble facing the away-moving ball from round the wicket as Bumrah is getting sharp nip away from the pitch too. Totally opened up in defence, so lucky not to have kissed this to KL"
413,"Bumrah to Head, no run, length delivery, Head mistimes towards mid-off"
414,"Bumrah to Head, no run, unplayable. Short of a length delivery angling in around off stump and moving away cunningly to square up Head in his back foot defence, so close to taking the edge as it flew past the bat"
415,"Bumrah to Mitchell Marsh, 1 run, pushes this to cover-point and gets off strike"
416,"Couple of balls now that haven't quite carried through to Rahul, should he and Kohli at slip take a step forward?"
417,"Bumrah to Mitchell Marsh, no run, swinging away, Marsh plays and misses again"
418,"Bumrah to Mitchell Marsh, no run, short of length delivery swinging away, Marsh swings and misses"
420,"Shami to Head, no run, good length delivery just outside off stump, Head defends from the crease"
421,"Shami to Mitchell Marsh, leg byes, 1 run, nip-backer but finishes down leg, Marsh misses the glance"
422,Now deep point in place
423,"Shami to Mitchell Marsh, FOUR, there's the conterattack from Marsh. Attack his best form of defence. Short of a length delivery, Marsh smacks it hard over the infield and over cover-point. No fielder there"
424,"Shami to Mitchell Marsh, 5 wides, oh swinging too far down leg and even a hand from a diving KL isn't good enough. Inswinger gone wrong and Rohit isn't happy"
425,"Shami to Head, byes, 1 run, look at that ball wobble after it passes the batter but they get a bye"
426,"Shami to Mitchell Marsh, 1 run, ohh inside edge as Marsh looks to swing hard and this inswinger troubles him, the thick inside-edge rolls away to deep backward square leg"
427,"Mitchell Marsh, right handed bat, comes to the crease"
428,"Shami to Warner, out Caught by Kohli!! Mo Shami you beauty! India made the bold call to get Shami on early than first change and it's worked. One of the big fishes is in the net. You always expect Shami to trouble left-handers with his form in this World Cup. Stuart Broad owned Warner in Tests from round the wicket and the world took notice. Shami loves bowling under lights and Ahmedabad is his den in the IPL and he loves bowling to left-handers, he strikes almost straightaway. Good length delivery angling in, moved away late, Warner reached out for a cut, kind of toe-ended it to Virat who is the lone slip fielder. Ahmedabad finds its voice again! Warner c Kohli b Shami 7(3) [4s-1]"
429,"Shami to Warner, THATS OUT!! Caught!!"
430,"Shami to Warner, wide, stays round the wicket and fires down leg, Warner looks to glance and misses. India try to trick the ump with an appeal but the wide is called"
431,STAT: Zaheer Khan conceded 15 runs off the opening over in 2003 finals.
432,"Mohammed Shami, right-arm fast medium, comes into the attack"
433,Oh interesting! It's Shami taking the new ball and not Siraj
434,This is just the start Australia wanted
436,"Bumrah to Head, FOUR, Bumrah looks to bowl the inswinger and fires it full outside off stump, didn't swing, just went straight. Head says ah thank you very much and drives wide of mid-off to the right"
437,"HUGE MOMENT IN THE GAME? A thick outside edge first ball and the slip cordon (Kohli and Gill) left it to each other. The ball flew away to the third man fence ultimately and it was TK Dilip, the Indian fielding coach, who collected the ball near the circumference before tossing it back onto the field. Just before India got onto the field, Dilip was seen having a chat with a few players after the conclusion of fielding drills. Bumrah was absolutely shell-shocked and did display his disgust before wearing a wry smile. Rohit Sharma too looked very disappointed and shut his eyes momentarily. Dinesh Karthik, on comms, felt that it was more of Kohli's catch (1st slip) than Gill's (2nd slip)."
438,"Bumrah to Head, no run, short of length delivery finishin just outside off stump, Head defends"
439,"Bumrah to Head, FOUR, again big outswing but with a lot of width, Head drives in the big gap between mid-off and cover and Head is away too"
440,"The stadium is engulfed in loud chants, they've found their voice again and India will need them to keep willing them on throughout"
441,"Bumrah to Head, no run, full and swinging away outside off stump, Head lets it go"
442,Round the wicket to Head
443,"Bumrah to Warner, 3 runs, nice outswing again but it's in the slot, Warner leans forward to push it through cover-point, does beat the dive, Jadeja hunts it down"
444,Bumrah round the wicket to Head and two slips for him. Third man and fine-leg back.
445,"Bumrah to Warner, FOUR, edgedddd and no-one goes for it! Swinging away outside off stump, Warner feels for the ball and plays away from the body, thick outside edge. Virat at slip thought Gill would dive to the right from second slip and Gill thought VIrat would go to the left. It was definitely closer to Virat"
446,Warner and Head are at the crease. Warner is on strike. Bumrah will open the attack